1,1,1,1
3,3,3,3
5,5,5,5
10,10,10,10
16,16,16,16
17,17,17,17
18,18,18,18
23,23,23,23
30,30,30,30
36,36,36,36
37,37,37,37
44,44,44,44
45,45,45,45
57,57,57,57
61,61,61,61
64,64,64,64
67,67,67,67
69,69,69,69
72,72,72,72
73,73,73,73
74,74,74,74
77,77,77,77
79,79,79,79
84,84,84,84
90,90,90,90
93,93,93,93
95,95,95,95
111,111,111,111
116,116,116,116
122,122,122,122
123,123,123,123
125,125,125,125
126,126,126,126
127,127,127,127
138,138,138,138
139,139,139,139
153,153,153,153
155,155,155,155
156,156,156,156
163,163,163,163
172,172,172,172
174,174,174,174
179,179,179,179
181,181,181,181
186,186,186,186
188,188,188,188
194,194,194,194
195,195,195,195
196,196,196,196
203,203,203,203
204,204,204,204
207,207,207,207
208,208,208,208
211,211,211,211
216,216,216,216
217,217,217,217
222,222,222,222
226,226,226,226
230,230,230,230
232,232,232,232
243,243,243,243
247,247,247,247
248,248,248,248
249,249,249,249
253,253,253,253
255,255,255,255
260,260,260,260
261,261,261,261
266,266,266,266
273,273,273,273
280,280,280,280
281,281,281,281
288,288,288,288
291,291,291,291
292,292,292,292
303,303,303,303
305,305,305,305
306,306,306,306
310,310,310,310
319,319,319,319
322,322,322,322
325,325,325,325
327,327,327,327
333,333,333,333
335,335,335,335
338,338,338,338
340,340,340,340
343,343,343,343
347,347,347,347
349,349,349,349
352,352,352,352
357,357,357,357
364,364,364,364
365,365,365,365
369,369,369,369
372,372,372,372
373,373,373,373
375,375,375,375
378,378,378,378
384,384,384,384
386,386,386,386
387,387,387,387
388,388,388,388
390,390,390,390
395,395,395,395
396,396,396,396
397,397,397,397
398,398,398,398
408,408,408,408
414,414,414,414
421,421,421,421
422,422,422,422
430,430,430,430
433,433,433,433
435,435,435,435
437,437,437,437
439,439,439,439
440,440,440,440
443,443,443,443
447,447,447,447
451,451,451,451
453,453,453,453
455,455,455,455
458,458,458,458
464,464,464,464
466,466,466,466
476,476,476,476
477,477,477,477
478,478,478,478
479,479,479,479
481,481,481,481
483,483,483,483
484,484,484,484
488,488,488,488
489,489,489,489
494,494,494,494
495,495,495,495
496,496,496,496
498,498,498,498
504,504,504,504
506,506,506,506
510,510,510,510
516,516,516,516
519,519,519,519
524,524,524,524
525,525,525,525
527,527,527,527
531,531,531,531
533,533,533,533
539,539,539,539
542,542,542,542
543,543,543,543
545,545,545,545
548,548,548,548
549,549,549,549
558,558,558,558
561,561,561,561
562,562,562,562
570,570,570,570
575,575,575,575
577,577,577,577
578,578,578,578
579,579,579,579
589,589,589,589
593,593,593,593
599,599,599,599
601,601,601,601
602,602,602,602
603,603,603,603
606,606,606,606
609,609,609,609
613,613,613,613
616,616,616,616
627,627,627,627
628,628,628,628
631,631,631,631
632,632,632,632
633,633,633,633
639,639,639,639
641,641,641,641
646,646,646,646
647,647,647,647
648,648,648,648
649,649,649,649
659,659,659,659
662,662,662,662
665,665,665,665
668,668,668,668
670,670,670,670
673,673,673,673
677,677,677,677
682,682,682,682
689,689,689,689
693,693,693,693
695,695,695,695
707,707,707,707
710,710,710,710
712,712,712,712
716,716,716,716
720,720,720,720
721,721,721,721
722,722,722,722
727,727,727,727
730,730,730,730
737,737,737,737
738,738,738,738
739,739,739,739
754,754,754,754
757,757,757,757
758,758,758,758
762,762,762,762
772,772,772,772
795,795,795,795
796,796,796,796
798,798,798,798
799,799,799,799
804,804,804,804
811,811,811,811
812,812,812,812
816,816,816,816
818,818,818,818
822,822,822,822
839,839,839,839
840,840,840,840
841,841,841,841
844,844,844,844
845,845,845,845
859,859,859,859
862,862,862,862
865,865,865,865
866,866,866,866
869,869,869,869
875,875,875,875
877,877,877,877
888,888,888,888
891,891,891,891
903,903,903,903
917,917,917,917
919,919,919,919
929,929,929,929
942,942,942,942
944,944,944,944
952,952,952,952
953,953,953,953
954,954,954,954
958,958,958,958
960,960,960,960
962,962,962,962
965,965,965,965
968,968,968,968
972,972,972,972
977,977,977,977
984,984,984,984
988,988,988,988
989,989,989,989
990,990,990,990
994,994,994,994
996,996,996,996
999,999,999,999
1002,1002,1002,1002
1016,1016,1016,1016
1028,1028,1028,1028
1032,1032,1032,1032
1033,1033,1033,1033
1043,1043,1043,1043
1045,1045,1045,1045
1051,1051,1051,1051
1052,1052,1052,1052
1059,1059,1059,1059
1063,1063,1063,1063
1066,1066,1066,1066
1067,1067,1067,1067
1070,1070,1070,1070
1081,1081,1081,1081
1087,1087,1087,1087
1089,1089,1089,1089
1101,1101,1101,1101
1105,1105,1105,1105
1109,1109,1109,1109
1111,1111,1111,1111
1112,1112,1112,1112
1115,1115,1115,1115
1117,1117,1117,1117
1124,1124,1124,1124
1133,1133,1133,1133
1134,1134,1134,1134
1136,1136,1136,1136
